"metric","producing_function","family","definition","formula_units","range_interpretation","reference","output_object","controlling_arg"
"mfdfa_width","mfdfa","fractal","Width of the multifractal singularity spectrum","unitless","non-negative; wider = more multifractal","kantelhardt2002","mfdfa()$width",""
"mse_area","multiscale.entropy","fractal","Area under the multiscale sample-entropy curve (complexity index)","unitless","non-negative; higher = more complex","costa2002","multiscale.entropy()$area","scales"
"mse_slope","multiscale.entropy","fractal","Slope of sample entropy across coarse-graining scales","unitless","sign indicates rising or falling complexity with scale","costa2002","multiscale.entropy()$slope","scales"
"kRA","state.transitions","phase","Rest-to-active state transition rate","per epoch","non-negative","lim2011","state.transitions()$kRA",""
"kAR","state.transitions","phase","Active-to-rest state transition rate","per epoch","non-negative","lim2011","state.transitions()$kAR",""
"pRA","state.transitions","phase","Rest-to-active state transition probability","unitless","0 to 1","lim2011","state.transitions()$pRA",""
"pAR","state.transitions","phase","Active-to-rest state transition probability","unitless","0 to 1","lim2011","state.transitions()$pAR",""
"SRI","sleep.regularity.index","sleep","Sleep Regularity Index: how consistently the sleep/wake state repeats 24 h apart (requires sleep_state)","200*P - 100, where P is the fraction of epoch pairs 24 h apart in the same state; index points","-100 to 100; 100 = perfectly regular, 0 = random, higher = more regular","phillips2017","sleep.regularity.index()",""
"social_jet_lag_hours","social.jet.lag","sleep","Social jet lag: mid-sleep difference between free and work days (requires sleep_periods)","hours","typically 0 to 3; larger = greater misalignment","wittmann2006","social.jet.lag()$social_jet_lag_hours",""
"MSW","social.jet.lag","sleep","Mid-sleep on work days","clock hours (0-24)","0 to 24","wittmann2006","social.jet.lag()$MSW",""
"MSF","social.jet.lag","sleep","Mid-sleep on free days","clock hours (0-24)","0 to 24","wittmann2006","social.jet.lag()$MSF",""
"lids_period_min","lids","sleep","Mean Locomotor Inactivity During Sleep ultradian period (requires sleep_periods)","minutes","typically 60 to 120 min","winnebeck2018","lids()$mean_period_min",""
"lids_MRI","lids","sleep","Mean Munich Rhythmicity Index of the LIDS cycles (requires sleep_periods)","unitless","0 to 1; higher = stronger ultradian rhythm","winnebeck2018","lids()$mean_MRI",""
